product_id,product_name,category,sub_category
P11,Accessories Culpa,Clothing,Accessories
P1722,Lamp Exercitationem,Home Decor,Lamp
P2192,Mobile Magnam,Electronics,Mobile
P2429,Perfume Neque,Beauty,Perfume
P868,Cricket Bat Delectus,Sports,Cricket Bat
P810,Cookware Set Minima,Kitchen,Cookware Set
P2500,Puzzle Nulla,Toys,Puzzle
P614,Chair Veniam,Furniture,Chair
P2841,Shoes Dolores,Clothing,Shoes
P3580,Wall Art Quidem,Home Decor,Wall Art
P1309,Football Architecto,Sports,Football
P2227,Non-Fiction Aliquid,Books,Non-Fiction
P2661,Refrigerator Quibusdam,Kitchen,Refrigerator
P3062,Sofa Voluptas,Furniture,Sofa
P3806,Yoga Mat Nam,Sports,Yoga Mat
P3250,Table Iusto,Furniture,Table
P5,Accessories Aspernatur,Clothing,Accessories
P2996,Sofa Dolorum,Furniture,Sofa
P1187,Face Cream Necessitatibus,Beauty,Face Cream
P1976,Men's Wear Quia,Clothing,Men's Wear
P348,Board Game Ipsa,Toys,Board Game
P1060,Doll Soluta,Toys,Doll
P1135,Dumbbells Unde,Sports,Dumbbells
P2726,Rice Odit,Groceries,Rice
P1682,Kids Wear Sed,Clothing,Kids Wear
P2272,Non-Fiction Occaecati,Books,Non-Fiction
P2803,Shampoo Provident,Beauty,Shampoo
P896,Cricket Bat Minus,Sports,Cricket Bat
P1523,Headphones Similique,Electronics,Headphones
P3097,Spices Incidunt,Groceries,Spices
P1501,Headphones Maiores,Electronics,Headphones
P3709,Women's Wear Iste,Clothing,Women's Wear
P2381,Oil Sunt,Groceries,Oil
P3059,Sofa Vel,Furniture,Sofa
P162,Bed Architecto,Furniture,Bed
P1241,Fiction Dolorem,Books,Fiction
P3350,Tennis Racket Rem,Sports,Tennis Racket
P1516,Headphones Recusandae,Electronics,Headphones
P2810,Shampoo Rem,Beauty,Shampoo
P606,Chair Sint,Furniture,Chair
P1858,Lipstick Atque,Beauty,Lipstick
P2279,Non-Fiction Porro,Books,Non-Fiction
P2078,Mixer Grinder Aperiam,Kitchen,Mixer Grinder
P2127,Mixer Grinder Placeat,Kitchen,Mixer Grinder
P2744,Rice Ullam,Groceries,Rice
P3073,Spices Cum,Groceries,Spices
P23,Accessories Est,Clothing,Accessories
P817,Cookware Set Nihil,Kitchen,Cookware Set
P881,Cricket Bat Ex,Sports,Cricket Bat
P3544,Wall Art Earum,Home Decor,Wall Art
P666,Clock Optio,Home Decor,Clock
P657,Clock Maiores,Home Decor,Clock
P3171,Sugar Iusto,Groceries,Sugar
P2790,Shampoo Libero,Beauty,Shampoo
P1486,Headphones Exercitationem,Electronics,Headphones
P250,Biography Deleniti,Books,Biography
P1479,Headphones Doloribus,Electronics,Headphones
P3682,Women's Wear Delectus,Clothing,Women's Wear
P1607,Juicer Sint,Kitchen,Juicer
P3593,Wall Art Tenetur,Home Decor,Wall Art
P514,Camera Minus,Electronics,Camera
P3357,Tennis Racket Sed,Sports,Tennis Racket
P2075,Mixer Grinder Aliquam,Kitchen,Mixer Grinder
P1946,Men's Wear Ex,Clothing,Men's Wear
P3115,Spices Pariatur,Groceries,Spices
P440,Cabinet Nisi,Furniture,Cabinet
P2966,Smartwatch Tempore,Electronics,Smartwatch
P3229,Table Deserunt,Furniture,Table
P667,Clock Perferendis,Home Decor,Clock
P1008,Doll Assumenda,Toys,Doll
P1922,Men's Wear Aliquid,Clothing,Men's Wear
P3752,Women's Wear Totam,Clothing,Women's Wear
P957,Cushion Ipsum,Home Decor,Cushion
P1476,Headphones Deleniti,Electronics,Headphones
P3478,Vase Laboriosam,Home Decor,Vase
P32,Accessories Iure,Clothing,Accessories
P3724,Women's Wear Officia,Clothing,Women's Wear
P3755,Women's Wear Vero,Clothing,Women's Wear
P3819,Yoga Mat Quibusdam,Sports,Yoga Mat
P83,Action Figure Beatae,Toys,Action Figure
P1615,Juicer Voluptate,Kitchen,Juicer
P846,Cookware Set Ut,Kitchen,Cookware Set
P1227,Fiction Aliquid,Books,Fiction
P2564,RC Car Ipsum,Toys,RC Car
P2016,Microwave Eius,Kitchen,Microwave
P1019,Doll Eius,Toys,Doll
P3771,Yoga Mat Consequuntur,Sports,Yoga Mat
P1807,Laptop Ipsam,Electronics,Laptop
P3567,Wall Art Neque,Home Decor,Wall Art
P2553,RC Car Et,Toys,RC Car
P450,Cabinet Provident,Furniture,Cabinet
P1382,Football Temporibus,Sports,Football
P2190,Mobile Laudantium,Electronics,Mobile
P1405,Foundation Doloremque,Beauty,Foundation
P3677,Women's Wear Consequuntur,Clothing,Women's Wear
P1864,Lipstick Debitis,Beauty,Lipstick
P2380,Oil Sit,Groceries,Oil
P1075,Dumbbells Assumenda,Sports,Dumbbells
P1317,Football Distinctio,Sports,Football
P320,Board Game A,Toys,Board Game
P1434,Foundation Necessitatibus,Beauty,Foundation
P457,Cabinet Ratione,Furniture,Cabinet
P2015,Microwave Ea,Kitchen,Microwave
P2161,Mobile Beatae,Electronics,Mobile
P3466,Vase Exercitationem,Home Decor,Vase
P530,Camera Quasi,Electronics,Camera
P475,Camera Atque,Electronics,Camera
P2798,Shampoo Nulla,Beauty,Shampoo
P1443,Foundation Officia,Beauty,Foundation
P2812,Shampoo Saepe,Beauty,Shampoo
P48,Accessories Perspiciatis,Clothing,Accessories
P1720,Lamp Ex,Home Decor,Lamp
P1290,Fiction Rem,Books,Fiction
P3369,Textbook Alias,Books,Textbook
P525,Camera Placeat,Electronics,Camera
P1520,Headphones Rerum,Electronics,Headphones
P1433,Foundation Molestias,Beauty,Foundation
P212,Bed Optio,Furniture,Bed
P1086,Dumbbells Dolorem,Sports,Dumbbells
P789,Cookware Set Eligendi,Kitchen,Cookware Set
P2577,RC Car Nobis,Toys,RC Car
P3505,Vase Quisquam,Home Decor,Vase
P3056,Sofa Temporibus,Furniture,Sofa
P2758,Shampoo Commodi,Beauty,Shampoo
P163,Bed Aspernatur,Furniture,Bed
P333,Board Game Consectetur,Toys,Board Game
P3440,Vase A,Home Decor,Vase
P2523,Puzzle Veniam,Toys,Puzzle
P2427,Perfume Mollitia,Beauty,Perfume
P749,Comics Reprehenderit,Books,Comics
P1509,Headphones Perferendis,Electronics,Headphones
P108,Action Figure Ipsum,Toys,Action Figure
P853,Cricket Bat Accusamus,Sports,Cricket Bat
P3656,Wheat Repellendus,Groceries,Wheat
P3625,Wheat Facere,Groceries,Wheat
P588,Chair Odit,Furniture,Chair
P2195,Mobile Mollitia,Electronics,Mobile
P2674,Refrigerator Unde,Kitchen,Refrigerator
P2156,Mobile Asperiores,Electronics,Mobile
P944,Cushion Earum,Home Decor,Cushion
P2113,Mixer Grinder Maxime,Kitchen,Mixer Grinder
P2055,Microwave Quia,Kitchen,Microwave
P1932,Men's Wear Debitis,Clothing,Men's Wear
P1671,Kids Wear Pariatur,Clothing,Kids Wear
P1068,Dumbbells Ab,Sports,Dumbbells
P1840,Laptop Tempore,Electronics,Laptop
P3627,Wheat Itaque,Groceries,Wheat
P1294,Fiction Sunt,Books,Fiction
P1159,Face Cream Doloribus,Beauty,Face Cream
P431,Cabinet Iusto,Furniture,Cabinet
P3029,Sofa Occaecati,Furniture,Sofa
P2209,Mobile Quo,Electronics,Mobile
P3158,Sugar Est,Groceries,Sugar
P573,Chair Ipsum,Furniture,Chair
P756,Comics Unde,Books,Comics
P617,Chair Voluptatum,Furniture,Chair
P1337,Football Fugiat,Sports,Football
P2110,Mixer Grinder Labore,Kitchen,Mixer Grinder
P1591,Juicer Officia,Kitchen,Juicer
P3765,Yoga Mat Aliquid,Sports,Yoga Mat
P1656,Kids Wear Labore,Clothing,Kids Wear
P2092,Mixer Grinder Doloribus,Kitchen,Mixer Grinder
P548,Camera Voluptatum,Electronics,Camera
P660,Clock Nam,Home Decor,Clock
P3521,Vase Vel,Home Decor,Vase
P1343,Football Iusto,Sports,Football
P998,Cushion Voluptate,Home Decor,Cushion
P337,Board Game Dolore,Toys,Board Game
P2059,Microwave Quos,Kitchen,Microwave
P2372,Oil Quibusdam,Groceries,Oil
P932,Cushion Consequatur,Home Decor,Cushion
P813,Cookware Set Natus,Kitchen,Cookware Set
P2880,Shoes Quisquam,Clothing,Shoes
P801,Cookware Set Incidunt,Kitchen,Cookware Set
P295,Biography Quas,Books,Biography
P1774,Lamp Veritatis,Home Decor,Lamp
P67,Accessories Velit,Clothing,Accessories
P1183,Face Cream Maxime,Beauty,Face Cream
P3669,Women's Wear Ab,Clothing,Women's Wear
P3605,Wheat Animi,Groceries,Wheat
P149,Action Figure Veritatis,Toys,Action Figure
P2599,RC Car Veritatis,Toys,RC Car
P638,Clock Earum,Home Decor,Clock
P681,Clock Saepe,Home Decor,Clock
P1143,Dumbbells Voluptatibus,Sports,Dumbbells
P430,Cabinet Iure,Furniture,Cabinet
P1794,Laptop Deserunt,Electronics,Laptop
P3252,Table Libero,Furniture,Table
P3629,Wheat Laboriosam,Groceries,Wheat
P2439,Perfume Quas,Beauty,Perfume
P1563,Juicer Facere,Kitchen,Juicer
P3413,Textbook Odio,Books,Textbook
P3361,Tennis Racket Veritatis,Sports,Tennis Racket
P2793,Shampoo Molestiae,Beauty,Shampoo
P219,Bed Recusandae,Furniture,Bed
P235,Bed Veritatis,Furniture,Bed
P3015,Sofa Laboriosam,Furniture,Sofa
P188,Bed Illum,Furniture,Bed
P876,Cricket Bat Eligendi,Sports,Cricket Bat
P1027,Doll Hic,Toys,Doll
P1875,Lipstick Esse,Beauty,Lipstick
P69,Accessories Voluptas,Clothing,Accessories
P347,Board Game Impedit,Toys,Board Game
P1709,Lamp Cum,Home Decor,Lamp
P3238,Table Exercitationem,Furniture,Table
P1431,Foundation Magni,Beauty,Foundation
P1312,Football Commodi,Sports,Football
P1456,Foundation Sequi,Beauty,Foundation
P2314,Oil Accusamus,Groceries,Oil
P1587,Juicer Nesciunt,Kitchen,Juicer
P3442,Vase Accusamus,Home Decor,Vase
P1839,Laptop Sunt,Electronics,Laptop
P1346,Football Maiores,Sports,Football
P2294,Non-Fiction Repellendus,Books,Non-Fiction
P3240,Table Explicabo,Furniture,Table
P804,Cookware Set Ipsum,Kitchen,Cookware Set
P2066,Microwave Soluta,Kitchen,Microwave
P390,Board Game Vel,Toys,Board Game
P1728,Lamp Impedit,Home Decor,Lamp
P2630,Refrigerator Facere,Kitchen,Refrigerator
P1535,Juicer Ad,Kitchen,Juicer
P1670,Kids Wear Officia,Clothing,Kids Wear
P14,Accessories Dignissimos,Clothing,Accessories
P96,Action Figure Ducimus,Toys,Action Figure
P1679,Kids Wear Reprehenderit,Clothing,Kids Wear
P764,Cookware Set Accusantium,Kitchen,Cookware Set
P1622,Kids Wear Adipisci,Clothing,Kids Wear
P2364,Oil Optio,Groceries,Oil
P264,Biography Facilis,Books,Biography
P464,Cabinet Temporibus,Furniture,Cabinet
P1984,Men's Wear Repellat,Clothing,Men's Wear
P1621,Kids Wear Accusamus,Clothing,Kids Wear
P1001,Doll Ab,Toys,Doll
P2211,Mobile Rem,Electronics,Mobile
P3325,Tennis Racket Ipsum,Sports,Tennis Racket
P670,Clock Provident,Home Decor,Clock
P34,Accessories Laudantium,Clothing,Accessories
P872,Cricket Bat Doloremque,Sports,Cricket Bat
P131,Action Figure Quae,Toys,Action Figure
P3760,Yoga Mat A,Sports,Yoga Mat
P1440,Foundation Occaecati,Beauty,Foundation
P2709,Rice Id,Groceries,Rice
P2136,Mixer Grinder Rem,Kitchen,Mixer Grinder
P81,Action Figure Atque,Toys,Action Figure
P2711,Rice Illum,Groceries,Rice
P892,Cricket Bat Iusto,Sports,Cricket Bat
P919,Cricket Bat Totam,Sports,Cricket Bat
P3720,Women's Wear Non,Clothing,Women's Wear
P2518,Puzzle Tempore,Toys,Puzzle
P2683,Rice Accusantium,Groceries,Rice
P3462,Vase Est,Home Decor,Vase
P3355,Tennis Racket Rerum,Sports,Tennis Racket
P1069,Dumbbells Accusamus,Sports,Dumbbells
P1335,Football Exercitationem,Sports,Football
P3085,Spices Eius,Groceries,Spices
P2978,Sofa Ad,Furniture,Sofa
P3341,Tennis Racket Placeat,Sports,Tennis Racket
P2268,Non-Fiction Nam,Books,Non-Fiction
P2566,RC Car Itaque,Toys,RC Car
P616,Chair Voluptate,Furniture,Chair
P3705,Women's Wear In,Clothing,Women's Wear
P3002,Sofa Expedita,Furniture,Sofa
P115,Action Figure Minus,Toys,Action Figure
P2854,Shoes Hic,Clothing,Shoes
P3321,Tennis Racket Illo,Sports,Tennis Racket
P3420,Textbook Quam,Books,Textbook
P155,Bed Ab,Furniture,Bed
P3779,Yoga Mat Distinctio,Sports,Yoga Mat
P1983,Men's Wear Recusandae,Clothing,Men's Wear
P2442,Perfume Quibusdam,Beauty,Perfume
P2197,Mobile Nihil,Electronics,Mobile
P2479,Puzzle Doloribus,Toys,Puzzle
P1985,Men's Wear Repudiandae,Clothing,Men's Wear
P124,Action Figure Numquam,Toys,Action Figure
P3399,Textbook Iste,Books,Textbook
P3759,Women's Wear Voluptatum,Clothing,Women's Wear
P839,Cookware Set Repellat,Kitchen,Cookware Set
P3699,Women's Wear Fugiat,Clothing,Women's Wear
P3164,Sugar Fugit,Groceries,Sugar
P1813,Laptop Magni,Electronics,Laptop
P1837,Laptop Sit,Electronics,Laptop
P1948,Men's Wear Explicabo,Clothing,Men's Wear
P3054,Sofa Suscipit,Furniture,Sofa
P3332,Tennis Racket Molestiae,Sports,Tennis Racket
P3206,Sugar Temporibus,Groceries,Sugar
P361,Board Game Nulla,Toys,Board Game
P2316,Oil Aliquam,Groceries,Oil
P960,Cushion Labore,Home Decor,Cushion
P2008,Microwave Cumque,Kitchen,Microwave
P2423,Perfume Maxime,Beauty,Perfume
P257,Biography Eaque,Books,Biography
P60,Accessories Repellendus,Clothing,Accessories
P2230,Non-Fiction Architecto,Books,Non-Fiction
P711,Comics Eos,Books,Comics
P195,Bed Iure,Furniture,Bed
P2215,Mobile Sequi,Electronics,Mobile
P3499,Vase Perferendis,Home Decor,Vase
P2275,Non-Fiction Optio,Books,Non-Fiction
P1703,Lamp At,Home Decor,Lamp
P608,Chair Tempora,Furniture,Chair
P2337,Oil Explicabo,Groceries,Oil
P2933,Smartwatch Ipsa,Electronics,Smartwatch
P3246,Table Ipsum,Furniture,Table
P2915,Smartwatch Consectetur,Electronics,Smartwatch
P3789,Yoga Mat Et,Sports,Yoga Mat
P1054,Doll Recusandae,Toys,Doll
P3064,Sofa Voluptatibus,Furniture,Sofa
P1152,Face Cream Corrupti,Beauty,Face Cream
P2658,Refrigerator Perferendis,Kitchen,Refrigerator
P862,Cricket Bat Consequuntur,Sports,Cricket Bat
P2250,Non-Fiction Explicabo,Books,Non-Fiction
P2569,RC Car Magnam,Toys,RC Car
P2893,Shoes Totam,Clothing,Shoes
P830,Cookware Set Quam,Kitchen,Cookware Set
P2637,Refrigerator Impedit,Kitchen,Refrigerator
P1631,Kids Wear Distinctio,Clothing,Kids Wear
P662,Clock Necessitatibus,Home Decor,Clock
P2199,Mobile Nulla,Electronics,Mobile
P3388,Textbook Doloribus,Books,Textbook
P489,Camera Eius,Electronics,Camera
P3448,Vase Beatae,Home Decor,Vase
P2276,Non-Fiction Pariatur,Books,Non-Fiction
P1882,Lipstick Illo,Beauty,Lipstick
P2560,RC Car Illo,Toys,RC Car
P1144,Face Cream Ab,Beauty,Face Cream
P1910,Lipstick Tenetur,Beauty,Lipstick
P3472,Vase Inventore,Home Decor,Vase
P2962,Smartwatch Similique,Electronics,Smartwatch
P3223,Table Consequuntur,Furniture,Table
P3066,Spices Accusantium,Groceries,Spices
P680,Clock Rerum,Home Decor,Clock
P3668,Wheat Voluptatem,Groceries,Wheat
P2738,Rice Rem,Groceries,Rice
P1676,Kids Wear Quidem,Clothing,Kids Wear
P2258,Non-Fiction Ipsam,Books,Non-Fiction
P1695,Kids Wear Voluptatum,Clothing,Kids Wear
P1315,Football Deleniti,Sports,Football
P2644,Refrigerator Laboriosam,Kitchen,Refrigerator
P153,Action Figure Voluptatum,Toys,Action Figure
P2129,Mixer Grinder Provident,Kitchen,Mixer Grinder
P821,Cookware Set Nulla,Kitchen,Cookware Set
P838,Cookware Set Recusandae,Kitchen,Cookware Set
P2883,Shoes Quos,Clothing,Shoes
P1860,Lipstick Autem,Beauty,Lipstick
P2829,Shoes Autem,Clothing,Shoes
P3635,Wheat Minima,Groceries,Wheat
P1010,Doll Culpa,Toys,Doll
P408,Cabinet Deleniti,Furniture,Cabinet
P1561,Juicer Excepturi,Kitchen,Juicer
P1320,Football Dolorem,Sports,Football
P2913,Smartwatch At,Electronics,Smartwatch
P465,Cabinet Ullam,Furniture,Cabinet
P811,Cookware Set Minus,Kitchen,Cookware Set
P1461,Foundation Ullam,Beauty,Foundation
P1571,Juicer Inventore,Kitchen,Juicer
P3422,Textbook Quibusdam,Books,Textbook
P1239,Fiction Dicta,Books,Fiction
P1101,Dumbbells Illum,Sports,Dumbbells
P2363,Oil Omnis,Groceries,Oil
P1588,Juicer Nobis,Kitchen,Juicer
P3260,Table Nobis,Furniture,Table
P2919,Smartwatch Cumque,Electronics,Smartwatch
P1559,Juicer Esse,Kitchen,Juicer
P379,Board Game Reiciendis,Toys,Board Game
P2365,Oil Pariatur,Groceries,Oil
P2733,Rice Quis,Groceries,Rice
P572,Chair Impedit,Furniture,Chair
P2687,Rice Aperiam,Groceries,Rice
P442,Cabinet Non,Furniture,Cabinet
P615,Chair Vero,Furniture,Chair
P499,Camera Fugiat,Electronics,Camera
P3486,Vase Nam,Home Decor,Vase
P1764,Lamp Similique,Home Decor,Lamp
P3484,Vase Modi,Home Decor,Vase
P2307,Non-Fiction Velit,Books,Non-Fiction
P768,Cookware Set Aspernatur,Kitchen,Cookware Set
P384,Board Game Sed,Toys,Board Game
P3816,Yoga Mat Provident,Sports,Yoga Mat
P2255,Non-Fiction Incidunt,Books,Non-Fiction
P2102,Mixer Grinder Illo,Kitchen,Mixer Grinder
P1237,Fiction Cumque,Books,Fiction
P2037,Microwave Nam,Kitchen,Microwave
P2551,RC Car Eligendi,Toys,RC Car
P2080,Mixer Grinder Asperiores,Kitchen,Mixer Grinder
P3237,Table Excepturi,Furniture,Table
P270,Biography Laudantium,Books,Biography
P136,Action Figure Quidem,Toys,Action Figure
P3387,Textbook Dolore,Books,Textbook
P659,Clock Modi,Home Decor,Clock
P965,Cushion Minus,Home Decor,Cushion
P2169,Mobile Deleniti,Electronics,Mobile
P146,Action Figure Totam,Toys,Action Figure
P456,Cabinet Quos,Furniture,Cabinet
P245,Biography Consectetur,Books,Biography
P3433,Textbook Ut,Books,Textbook
P493,Camera Et,Electronics,Camera
P3693,Women's Wear Enim,Clothing,Women's Wear
P3,Accessories Animi,Clothing,Accessories
P1846,Laptop Voluptas,Electronics,Laptop
P3548,Wall Art Est,Home Decor,Wall Art
P2306,Non-Fiction Vel,Books,Non-Fiction
P1949,Men's Wear Facere,Clothing,Men's Wear
P3041,Sofa Quibusdam,Furniture,Sofa
P1706,Lamp Consequatur,Home Decor,Lamp
P795,Cookware Set Fugit,Kitchen,Cookware Set
P2290,Non-Fiction Recusandae,Books,Non-Fiction
P538,Camera Sit,Electronics,Camera
P3316,Tennis Racket Exercitationem,Sports,Tennis Racket
P291,Biography Optio,Books,Biography
P2237,Non-Fiction Debitis,Books,Non-Fiction
P84,Action Figure Corporis,Toys,Action Figure
P1951,Men's Wear Harum,Clothing,Men's Wear
