customer_id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,segment
C1034,285,1,47252.7,3,1,2,6,Potential Loyalist
C1035,526,1,114360.0,2,1,3,6,Potential Loyalist
C1036,719,1,101339.1,1,1,3,5,At Risk
C1037,281,1,142437.0,3,1,3,7,Potential Loyalist
C1038,670,1,31294.9,1,1,1,3,Hibernating
C1039,329,1,203048.1,3,1,4,8,Loyal
C104,637,1,13455.8,1,1,1,3,Hibernating
C1040,704,1,92745.0,1,1,3,5,At Risk
C1041,490,1,32373.9,2,1,1,4,At Risk
C1042,6,1,9133.0,4,1,1,6,Potential Loyalist
C1043,370,1,126600.0,2,1,3,6,Potential Loyalist
C1044,299,1,41542.2,3,1,2,6,Potential Loyalist
C1045,313,1,60185.7,3,1,2,6,Potential Loyalist
C1046,197,1,182567.25,3,1,4,8,Loyal
C1047,169,2,123130.8,4,4,3,11,Champions
C1048,326,1,231948.0,3,1,4,8,Loyal
C1049,242,1,27476.25,3,1,1,5,At Risk
C105,657,1,205174.8,1,1,4,6,Potential Loyalist
C1050,613,1,39541.0,1,1,1,3,Hibernating
C1051,316,1,32323.8,3,1,1,5,At Risk
C1052,79,1,67158.0,4,1,2,7,Potential Loyalist
C1053,279,1,258648.0,3,1,4,8,Loyal
C1054,661,1,1501.2,1,1,1,3,Hibernating
C1055,130,1,282877.2,4,1,4,9,Loyal
C1056,152,1,266912.0,4,1,4,9,Loyal
C1057,410,1,154268.0,2,1,3,6,Potential Loyalist
C1058,219,1,241165.4,3,1,4,8,Loyal
C1059,119,1,104616.0,4,1,3,8,Loyal
C106,504,1,228556.5,2,1,4,7,Potential Loyalist
C1060,151,1,21370.25,4,1,1,6,Potential Loyalist
C1061,494,1,204261.0,2,1,4,7,Potential Loyalist
C1062,486,2,160791.45,2,4,3,9,Loyal
C1063,663,1,31770.4,1,1,1,3,Hibernating
C1064,448,1,99482.3,2,1,3,6,Potential Loyalist
C1065,350,1,64346.35,3,1,2,6,Potential Loyalist
C1066,23,1,62192.7,4,1,2,7,Potential Loyalist
C1067,31,1,287432.0,4,1,4,9,Loyal
C1068,550,1,81556.0,1,1,2,4,At Risk
C1069,481,1,349832.75,2,1,4,7,Potential Loyalist
C107,3,1,82682.1,4,1,2,7,Potential Loyalist
C1070,45,1,68175.0,4,1,2,7,Potential Loyalist
C1071,492,1,226933.0,2,1,4,7,Potential Loyalist
C1072,727,1,112651.0,1,1,3,5,At Risk
C1073,343,1,8844.5,3,1,1,5,At Risk
C1074,496,2,323719.1,2,4,4,10,Champions
C1075,362,1,39762.15,3,1,1,5,At Risk
C1076,505,1,210328.0,2,1,4,7,Potential Loyalist
C1077,359,1,22077.6,3,1,1,5,At Risk
C1078,699,1,137860.0,1,1,3,5,At Risk
C1079,559,1,204681.0,1,1,4,6,Potential Loyalist
C108,617,1,13776.0,1,1,1,3,Hibernating
C1080,7,1,109074.6,4,1,3,8,Loyal
C1081,19,1,37063.3,4,1,1,6,Potential Loyalist
C1082,285,1,91004.0,3,1,3,7,Potential Loyalist
C1083,44,1,118850.4,4,1,3,8,Loyal
C1084,256,1,62499.0,3,1,2,6,Potential Loyalist
C1085,725,1,144750.0,1,1,3,5,At Risk
C1086,174,1,104580.0,4,1,3,8,Loyal
C1087,126,1,96417.0,4,1,3,8,Loyal
C1088,388,1,255371.4,2,1,4,7,Potential Loyalist
C1089,216,1,114904.0,3,1,3,7,Potential Loyalist
C109,12,1,47734.4,4,1,2,7,Potential Loyalist
C1090,456,1,145360.2,2,1,3,6,Potential Loyalist
C1091,696,1,126296.0,1,1,3,5,At Risk
C1092,551,1,17985.4,1,1,1,3,Hibernating
C1093,658,1,19066.0,1,1,1,3,Hibernating
C1094,586,1,66473.4,1,1,2,4,At Risk
C1095,46,1,133992.75,4,1,3,8,Loyal
C1096,219,1,278332.5,3,1,4,8,Loyal
C1097,500,1,69000.4,2,1,2,5,At Risk
C1098,630,1,20274.0,1,1,1,3,Hibernating
C1099,686,1,76058.85,1,1,2,4,At Risk
C11,678,1,56313.6,1,1,2,4,At Risk
C110,138,3,650151.9,4,4,4,12,Champions
C1100,63,1,110040.0,4,1,3,8,Loyal
C1101,371,2,45749.0,2,4,2,8,Loyal
C1102,661,1,53580.0,1,1,2,4,At Risk
C1103,185,1,87038.4,4,1,3,8,Loyal
C1104,576,1,135517.5,1,1,3,5,At Risk
C1105,297,1,69260.4,3,1,2,6,Potential Loyalist
C1106,146,1,67150.0,4,1,2,7,Potential Loyalist
C1107,207,1,72180.05,3,1,2,6,Potential Loyalist
C1108,481,1,22865.0,2,1,1,4,At Risk
C1109,316,1,51998.75,3,1,2,6,Potential Loyalist
C111,728,1,9223.2,1,1,1,3,Hibernating
C1110,453,1,48844.8,2,1,2,5,At Risk
C1111,522,1,210175.25,2,1,4,7,Potential Loyalist
C1112,136,1,111888.0,4,1,3,8,Loyal
C1113,135,1,12663.2,4,1,1,6,Potential Loyalist
C1114,226,1,130324.0,3,1,3,7,Potential Loyalist
C1115,620,2,204665.55,1,4,4,9,Loyal
C1116,448,1,129812.4,2,1,3,6,Potential Loyalist
C1117,533,1,2187.0,2,1,1,4,At Risk
C1118,41,2,53638.4,4,4,2,10,Champions
C1119,628,1,49232.0,1,1,2,4,At Risk
C112,291,1,41604.0,3,1,2,6,Potential Loyalist
C1120,323,1,75595.3,3,1,2,6,Potential Loyalist
C1121,612,1,232669.25,1,1,4,6,Potential Loyalist
C1122,520,1,49987.8,2,1,2,5,At Risk
C1123,147,1,62310.6,4,1,2,7,Potential Loyalist
C1124,441,1,52865.6,2,1,2,5,At Risk
C1125,391,1,193211.8,2,1,4,7,Potential Loyalist
C1126,556,1,12396.8,1,1,1,3,Hibernating
C1127,78,1,196956.0,4,1,4,9,Loyal
C1128,521,1,133696.35,2,1,3,6,Potential Loyalist
C1129,170,1,180165.6,4,1,4,9,Loyal
C113,722,1,27630.0,1,1,1,3,Hibernating
C1130,200,1,18745.05,3,1,1,5,At Risk
C1131,347,1,257524.5,3,1,4,8,Loyal
C1132,266,1,37022.4,3,1,1,5,At Risk
C1133,210,1,11643.2,3,1,1,5,At Risk
C1134,166,1,183918.75,4,1,4,9,Loyal
C1135,178,1,239472.0,4,1,4,9,Loyal
C1136,711,1,66153.0,1,1,2,4,At Risk
C1137,515,1,348222.5,2,1,4,7,Potential Loyalist
C1138,248,1,57531.6,3,1,2,6,Potential Loyalist
C1139,313,1,216980.0,3,1,4,8,Loyal
C114,660,1,106037.5,1,1,3,5,At Risk
C1140,139,1,66795.2,4,1,2,7,Potential Loyalist
C1141,625,1,116425.6,1,1,3,5,At Risk
C1142,257,1,96155.2,3,1,3,7,Potential Loyalist
C1143,598,1,15638.4,1,1,1,3,Hibernating
C1144,251,1,50517.0,3,1,2,6,Potential Loyalist
C1145,610,1,188732.0,1,1,4,6,Potential Loyalist
C1146,310,1,226809.0,3,1,4,8,Loyal
C1147,341,1,197305.6,3,1,4,8,Loyal
C1148,279,1,85881.0,3,1,3,7,Potential Loyalist
C1149,306,1,38281.5,3,1,1,5,At Risk
C115,248,1,155420.0,3,1,3,7,Potential Loyalist
C1150,181,1,16770.5,4,1,1,6,Potential Loyalist
C1151,95,1,46937.0,4,1,2,7,Potential Loyalist
C1152,193,1,54330.0,3,1,2,6,Potential Loyalist
C1153,664,1,111784.0,1,1,3,5,At Risk
C1154,418,1,140459.4,2,1,3,6,Potential Loyalist
C1155,116,1,57690.0,4,1,2,7,Potential Loyalist
C1156,150,1,47978.0,4,1,2,7,Potential Loyalist
C1157,716,1,113101.0,1,1,3,5,At Risk
C1158,697,1,32638.4,1,1,1,3,Hibernating
C1159,722,1,6908.4,1,1,1,3,Hibernating
C116,259,1,250899.6,3,1,4,8,Loyal
C1160,186,1,33613.25,3,1,1,5,At Risk
C1161,720,1,18574.2,1,1,1,3,Hibernating
C1162,328,1,312692.5,3,1,4,8,Loyal
C1163,607,1,124995.2,1,1,3,5,At Risk
C1164,266,1,71077.0,3,1,2,6,Potential Loyalist
C1165,100,1,133799.4,4,1,3,8,Loyal
C1166,657,1,50040.0,1,1,2,4,At Risk
C1167,696,1,37308.6,1,1,1,3,Hibernating
C1168,48,1,129490.7,4,1,3,8,Loyal
C1169,367,1,274864.0,2,1,4,7,Potential Loyalist
C117,100,1,15938.1,4,1,1,6,Potential Loyalist
C1170,685,1,283855.25,1,1,4,6,Potential Loyalist
C1171,551,1,130094.9,1,1,3,5,At Risk
C1172,539,1,72241.5,2,1,2,5,At Risk
C1173,65,2,308132.8,4,4,4,12,Champions
C1174,214,1,49866.4,3,1,2,6,Potential Loyalist
C1175,496,1,124442.4,2,1,3,6,Potential Loyalist
C1176,246,1,4291.2,3,1,1,5,At Risk
C1177,622,1,7720.55,1,1,1,3,Hibernating
C1178,450,1,43259.0,2,1,2,5,At Risk
C1179,430,1,368942.0,2,1,4,7,Potential Loyalist
C118,459,1,52645.0,2,1,2,5,At Risk
C1180,502,1,6209.6,2,1,1,4,At Risk
C1181,410,1,26778.0,2,1,1,4,At Risk
C1182,444,1,75960.0,2,1,2,5,At Risk
C1183,581,1,18065.7,1,1,1,3,Hibernating
C1184,134,1,62860.05,4,1,2,7,Potential Loyalist
C1185,313,1,188470.8,3,1,4,8,Loyal
C1186,604,1,19714.4,1,1,1,3,Hibernating
C1187,168,1,14065.8,4,1,1,6,Potential Loyalist
C1188,229,1,12420.3,3,1,1,5,At Risk
C1189,716,1,114712.2,1,1,3,5,At Risk
C119,368,1,110984.5,2,1,3,6,Potential Loyalist
C1190,474,1,23826.0,2,1,1,4,At Risk
C1191,142,1,24106.85,4,1,1,6,Potential Loyalist
C1192,139,1,58805.6,4,1,2,7,Potential Loyalist
C1193,499,1,115008.0,2,1,3,6,Potential Loyalist
C1194,25,1,123868.6,4,1,3,8,Loyal
C1195,620,1,207312.0,1,1,4,6,Potential Loyalist
C1196,243,1,54312.0,3,1,2,6,Potential Loyalist
C1197,349,1,55662.4,3,1,2,6,Potential Loyalist
C1198,271,1,111222.5,3,1,3,7,Potential Loyalist
C1199,213,1,170298.9,3,1,4,8,Loyal
C12,21,1,53381.6,4,1,2,7,Potential Loyalist
C120,456,1,57474.45,2,1,2,5,At Risk
C1200,3,1,29157.0,4,1,1,6,Potential Loyalist
C1201,535,1,35159.5,2,1,1,4,At Risk
C1202,500,1,55654.4,2,1,2,5,At Risk
C1203,200,1,245187.6,3,1,4,8,Loyal
C1204,731,1,56847.0,1,1,2,4,At Risk
C1205,108,1,246876.0,4,1,4,9,Loyal
C1206,57,1,240212.0,4,1,4,9,Loyal
C1207,327,1,53967.6,3,1,2,6,Potential Loyalist
C1208,475,1,133656.0,2,1,3,6,Potential Loyalist
C1209,615,1,62395.0,1,1,2,4,At Risk
C121,621,1,81156.6,1,1,2,4,At Risk
C1210,115,1,32216.8,4,1,1,6,Potential Loyalist
C1211,687,1,208549.2,1,1,4,6,Potential Loyalist
C1212,284,1,90009.6,3,1,3,7,Potential Loyalist
C1213,642,1,67362.0,1,1,2,4,At Risk
C1214,2,1,81936.0,4,1,2,7,Potential Loyalist
C1215,20,1,45651.0,4,1,2,7,Potential Loyalist
C1216,32,1,64880.0,4,1,2,7,Potential Loyalist
C1217,100,1,22873.5,4,1,1,6,Potential Loyalist
C1218,447,1,121876.2,2,1,3,6,Potential Loyalist
C1219,59,1,117718.2,4,1,3,8,Loyal
C122,668,1,177012.0,1,1,4,6,Potential Loyalist
C1220,603,1,133104.9,1,1,3,5,At Risk
C1221,71,1,4432.0,4,1,1,6,Potential Loyalist
C1222,702,1,44045.8,1,1,2,4,At Risk
C1223,649,1,142306.2,1,1,3,5,At Risk
C1224,358,1,228305.0,3,1,4,8,Loyal
C1225,676,1,228944.0,1,1,4,6,Potential Loyalist
C1226,402,1,21979.8,2,1,1,4,At Risk
C1227,626,1,106764.8,1,1,3,5,At Risk
C1228,507,1,231328.0,2,1,4,7,Potential Loyalist
C1229,125,1,154669.5,4,1,3,8,Loyal
C123,672,1,13079.2,1,1,1,3,Hibernating
C1230,305,1,152056.05,3,1,3,7,Potential Loyalist
C1231,172,1,70992.0,4,1,2,7,Potential Loyalist
C1232,477,2,211433.90000000002,2,4,4,10,Champions
C1233,503,1,6898.4,2,1,1,4,At Risk
C1234,301,1,46673.5,3,1,2,6,Potential Loyalist
C1235,508,1,238054.5,2,1,4,7,Potential Loyalist
C1236,90,1,25441.35,4,1,1,6,Potential Loyalist
C1237,108,1,60692.0,4,1,2,7,Potential Loyalist
C1238,263,1,33180.3,3,1,1,5,At Risk
C1239,266,1,93711.8,3,1,3,7,Potential Loyalist
C124,477,1,22338.4,2,1,1,4,At Risk
C1240,669,1,35834.95,1,1,1,3,Hibernating
C1241,269,1,22984.2,3,1,1,5,At Risk
C1242,526,1,23921.0,2,1,1,4,At Risk
C1243,115,1,225336.0,4,1,4,9,Loyal
C1244,651,1,47356.55,1,1,2,4,At Risk
C1245,700,1,168298.2,1,1,4,6,Potential Loyalist
C1246,620,1,80194.1,1,1,2,4,At Risk
C1247,58,1,31203.2,4,1,1,6,Potential Loyalist
C1248,660,1,207403.4,1,1,4,6,Potential Loyalist
C1249,342,1,117254.7,3,1,3,7,Potential Loyalist
C125,455,1,325316.25,2,1,4,7,Potential Loyalist
C1250,198,1,15838.2,3,1,1,5,At Risk
C1251,427,1,150100.8,2,1,3,6,Potential Loyalist
C1252,215,1,215092.8,3,1,4,8,Loyal
C1253,468,1,20072.0,2,1,1,4,At Risk
C1254,410,1,91945.0,2,1,3,6,Potential Loyalist
C1255,728,1,74442.0,1,1,2,4,At Risk
C1256,577,1,31246.0,1,1,1,3,Hibernating
C1257,611,2,41153.6,1,4,2,7,Potential Loyalist
C1258,151,1,245651.0,4,1,4,9,Loyal
C1259,603,1,9347.2,1,1,1,3,Hibernating
C126,219,2,348992.1,3,4,4,11,Champions
C1260,575,1,236648.8,1,1,4,6,Potential Loyalist
C1261,502,1,171135.6,2,1,4,7,Potential Loyalist
C1262,354,1,185212.0,3,1,4,8,Loyal
C1263,330,1,1848.75,3,1,1,5,At Risk
C1264,502,1,182709.2,2,1,4,7,Potential Loyalist
C1265,292,1,40352.0,3,1,1,5,At Risk
C1266,500,2,336961.4,2,4,4,10,Champions
C1267,611,1,54092.3,1,1,2,4,At Risk
C1268,381,1,24778.0,2,1,1,4,At Risk
C1269,512,1,187605.0,2,1,4,7,Potential Loyalist
C127,185,1,44726.4,4,1,2,7,Potential Loyalist
C1270,311,1,321593.25,3,1,4,8,Loyal
C1271,278,1,220561.5,3,1,4,8,Loyal
C1272,600,1,319065.0,1,1,4,6,Potential Loyalist
C1273,725,1,180288.0,1,1,4,6,Potential Loyalist
C1274,643,1,73075.5,1,1,2,4,At Risk
C1275,277,1,18787.2,3,1,1,5,At Risk
C1276,730,1,165205.0,1,1,4,6,Potential Loyalist
C1277,573,1,43242.4,1,1,2,4,At Risk
C1278,143,1,38327.75,4,1,1,6,Potential Loyalist
C1279,402,1,142615.9,2,1,3,6,Potential Loyalist
C128,500,1,158786.8,2,1,3,6,Potential Loyalist
C1280,262,1,64688.4,3,1,2,6,Potential Loyalist
C1281,701,1,136404.0,1,1,3,5,At Risk
C1282,624,1,189645.0,1,1,4,6,Potential Loyalist
C1283,62,1,344245.5,4,1,4,9,Loyal
C1284,449,1,11565.3,2,1,1,4,At Risk
C1285,300,1,188886.6,3,1,4,8,Loyal
C1286,273,2,92074.09999999999,3,4,3,10,Champions
C1287,517,1,1333.8,2,1,1,4,At Risk
C1288,608,1,60854.4,1,1,2,4,At Risk
C1289,704,1,2513.7,1,1,1,3,Hibernating
C129,616,1,823.5,1,1,1,3,Hibernating
C1290,630,1,60253.95,1,1,2,4,At Risk
C1291,648,1,149654.0,1,1,3,5,At Risk
C1292,98,1,306908.0,4,1,4,9,Loyal
C1293,515,1,7634.7,2,1,1,4,At Risk
C1294,224,1,15332.3,3,1,1,5,At Risk
C1295,53,1,39672.0,4,1,1,6,Potential Loyalist
C1296,680,1,88359.2,1,1,3,5,At Risk
C1297,149,1,95412.5,4,1,3,8,Loyal
C1298,690,1,74833.4,1,1,2,4,At Risk
C1299,383,1,289180.0,2,1,4,7,Potential Loyalist
C13,672,1,16344.0,1,1,1,3,Hibernating
C130,329,1,50990.0,3,1,2,6,Potential Loyalist
C1300,554,1,59130.0,1,1,2,4,At Risk
C1301,322,1,35556.6,3,1,1,5,At Risk
C1302,2,1,70674.3,4,1,2,7,Potential Loyalist
C1303,149,1,24820.0,4,1,1,6,Potential Loyalist
C1304,234,1,158600.0,3,1,3,7,Potential Loyalist
C1305,305,1,106313.55,3,1,3,7,Potential Loyalist
C1306,589,1,61800.0,1,1,2,4,At Risk
C1307,569,1,9644.0,1,1,1,3,Hibernating
C1308,376,1,43772.4,2,1,2,5,At Risk
C1309,410,1,144320.0,2,1,3,6,Potential Loyalist
C131,391,1,8998.4,2,1,1,4,At Risk
C1310,166,1,229353.6,4,1,4,9,Loyal
C1311,717,1,85438.6,1,1,2,4,At Risk
C1312,518,1,115526.9,2,1,3,6,Potential Loyalist
C1313,692,1,235756.75,1,1,4,6,Potential Loyalist
C1314,218,1,50563.75,3,1,2,6,Potential Loyalist
C1315,530,1,328101.5,2,1,4,7,Potential Loyalist
C1316,211,1,115812.6,3,1,3,7,Potential Loyalist
C1317,639,1,176047.2,1,1,4,6,Potential Loyalist
C1318,70,1,2178.35,4,1,1,6,Potential Loyalist
C1319,701,1,236025.6,1,1,4,6,Potential Loyalist
C132,693,1,293572.0,1,1,4,6,Potential Loyalist
C1320,509,1,129969.0,2,1,3,6,Potential Loyalist
C1321,304,1,50990.4,3,1,2,6,Potential Loyalist
C1322,581,1,48009.2,1,1,2,4,At Risk
C1323,327,1,69250.0,3,1,2,6,Potential Loyalist
C1324,53,1,32949.4,4,1,1,6,Potential Loyalist
C1325,304,1,59384.8,3,1,2,6,Potential Loyalist
C1326,402,1,19015.2,2,1,1,4,At Risk
C1327,584,1,214496.0,1,1,4,6,Potential Loyalist
C1328,64,1,272724.0,4,1,4,9,Loyal
C1329,77,1,12934.8,4,1,1,6,Potential Loyalist
C133,698,1,5527.8,1,1,1,3,Hibernating
C1330,44,1,154626.9,4,1,3,8,Loyal
C1331,687,1,23809.0,1,1,1,3,Hibernating
C1332,525,1,127485.6,2,1,3,6,Potential Loyalist
C1333,65,1,28541.3,4,1,1,6,Potential Loyalist
C1334,110,1,53687.7,4,1,2,7,Potential Loyalist
C1335,677,1,64034.75,1,1,2,4,At Risk
C1336,707,1,91027.2,1,1,3,5,At Risk
C1337,363,1,97152.45,2,1,3,6,Potential Loyalist
C1338,302,1,63654.0,3,1,2,6,Potential Loyalist
C1339,94,1,35183.2,4,1,1,6,Potential Loyalist
C134,55,1,203159.4,4,1,4,9,Loyal
C1340,58,1,267053.0,4,1,4,9,Loyal
C1341,315,1,81404.5,3,1,2,6,Potential Loyalist
C1342,22,1,120190.2,4,1,3,8,Loyal
C1343,503,1,120327.0,2,1,3,6,Potential Loyalist
C1344,623,1,22348.0,1,1,1,3,Hibernating
C1345,527,2,102887.3,2,4,3,9,Loyal
C1346,227,1,15453.9,3,1,1,5,At Risk
C1347,258,1,336766.5,3,1,4,8,Loyal
C1348,293,1,124940.8,3,1,3,7,Potential Loyalist
C1349,391,1,23913.05,2,1,1,4,At Risk
C135,352,1,36304.2,3,1,1,5,At Risk
C1350,129,1,15214.25,4,1,1,6,Potential Loyalist
C1351,135,1,250192.8,4,1,4,9,Loyal
C1352,42,1,12908.8,4,1,1,6,Potential Loyalist
C1353,321,2,135453.5,3,4,3,10,Champions
C1354,567,1,182130.0,1,1,4,6,Potential Loyalist
C1355,221,1,76692.0,3,1,2,6,Potential Loyalist
C1356,384,1,339824.5,2,1,4,7,Potential Loyalist
C1357,535,1,306705.0,2,1,4,7,Potential Loyalist
C1358,344,1,76150.4,3,1,2,6,Potential Loyalist
C1359,169,1,42073.6,4,1,2,7,Potential Loyalist
C136,405,1,2616.0,2,1,1,4,At Risk
C1360,640,1,103523.4,1,1,3,5,At Risk
C1361,489,1,236048.0,2,1,4,7,Potential Loyalist
C1362,199,2,376668.0,3,4,4,11,Champions
C1363,169,1,10965.0,4,1,1,6,Potential Loyalist
C1364,303,1,143782.4,3,1,3,7,Potential Loyalist
C1365,297,1,43644.0,3,1,2,6,Potential Loyalist
C1366,409,1,192607.2,2,1,4,7,Potential Loyalist
C1367,210,1,86385.6,3,1,3,7,Potential Loyalist
C1368,375,1,33717.8,2,1,1,4,At Risk
C1369,307,1,159880.0,3,1,3,7,Potential Loyalist
C137,487,1,35051.45,2,1,1,4,At Risk
C1370,499,1,34143.65,2,1,1,4,At Risk
C1371,41,1,255584.2,4,1,4,9,Loyal
C1372,317,1,131204.0,3,1,3,7,Potential Loyalist
C1373,723,1,18730.4,1,1,1,3,Hibernating
C1374,61,1,36016.8,4,1,1,6,Potential Loyalist
C1375,15,1,181726.2,4,1,4,9,Loyal
C1376,114,1,26000.0,4,1,1,6,Potential Loyalist
C1377,334,1,264.1,3,1,1,5,At Risk
C1378,646,1,138376.6,1,1,3,5,At Risk
C1379,686,1,15975.0,1,1,1,3,Hibernating
C138,532,1,271944.0,2,1,4,7,Potential Loyalist
C1380,509,1,40041.6,2,1,1,4,At Risk
C1381,555,1,17949.6,1,1,1,3,Hibernating
C1382,492,1,48281.4,2,1,2,5,At Risk
C1383,421,1,27140.55,2,1,1,4,At Risk
C1384,716,1,137182.0,1,1,3,5,At Risk
C1385,197,1,66236.4,3,1,2,6,Potential Loyalist
C1386,632,1,172866.75,1,1,4,6,Potential Loyalist
C1387,43,2,99430.40000000001,4,4,3,11,Champions
C1388,202,1,9055.4,3,1,1,5,At Risk
C1389,326,1,58821.0,3,1,2,6,Potential Loyalist
C139,458,1,24437.6,2,1,1,4,At Risk
C1390,365,1,220490.0,2,1,4,7,Potential Loyalist
C1391,411,1,4054.5,2,1,1,4,At Risk
C1392,77,1,25508.45,4,1,1,6,Potential Loyalist
C1393,340,1,230403.6,3,1,4,8,Loyal
C1394,429,1,15434.3,2,1,1,4,At Risk
C1395,70,1,76432.0,4,1,2,7,Potential Loyalist
C1396,353,1,373500.0,3,1,4,8,Loyal
C1397,265,1,58065.3,3,1,2,6,Potential Loyalist
C1398,494,1,200404.5,2,1,4,7,Potential Loyalist
C1399,485,2,96694.40000000001,2,4,3,9,Loyal
C14,214,1,198667.8,3,1,4,8,Loyal
C140,124,1,127862.4,4,1,3,8,Loyal
C1400,4,1,104215.95,4,1,3,8,Loyal
C1401,122,1,115034.4,4,1,3,8,Loyal
C1402,458,1,159454.05,2,1,3,6,Potential Loyalist
C1403,122,1,210427.2,4,1,4,9,Loyal
C1404,135,1,182761.95,4,1,4,9,Loyal
C1405,131,1,79212.0,4,1,2,7,Potential Loyalist
C1406,460,1,355216.5,2,1,4,7,Potential Loyalist
C1407,147,1,130077.2,4,1,3,8,Loyal
C1408,680,1,132075.9,1,1,3,5,At Risk
C1409,180,1,8438.4,4,1,1,6,Potential Loyalist
C141,339,1,358200.0,3,1,4,8,Loyal
C1410,24,1,54500.3,4,1,2,7,Potential Loyalist
C1411,604,1,35484.8,1,1,1,3,Hibernating
C1412,212,1,6175.8,3,1,1,5,At Risk
C1413,121,1,233980.0,4,1,4,9,Loyal
C1414,726,1,262557.2,1,1,4,6,Potential Loyalist
C1415,422,1,98708.0,2,1,3,6,Potential Loyalist
C1416,289,1,67752.65,3,1,2,6,Potential Loyalist
C1417,141,1,61922.9,4,1,2,7,Potential Loyalist
C1418,530,1,210268.0,2,1,4,7,Potential Loyalist
C1419,445,1,102792.6,2,1,3,6,Potential Loyalist
C142,508,1,177471.4,2,1,4,7,Potential Loyalist
C1420,689,1,45014.4,1,1,2,4,At Risk
C1421,420,1,93586.7,2,1,3,6,Potential Loyalist
C1422,335,1,223864.65,3,1,4,8,Loyal
C1423,690,1,108072.0,1,1,3,5,At Risk
C1424,239,1,103724.0,3,1,3,7,Potential Loyalist
C1425,236,1,79924.65,3,1,2,6,Potential Loyalist
C1426,83,1,136432.0,4,1,3,8,Loyal
C1427,293,1,36038.25,3,1,1,5,At Risk
C1428,418,1,28628.8,2,1,1,4,At Risk
C1429,411,1,310512.0,2,1,4,7,Potential Loyalist
C143,216,1,26063.0,3,1,1,5,At Risk
C1430,567,1,272830.0,1,1,4,6,Potential Loyalist
C1431,517,1,38335.5,2,1,1,4,At Risk
C1432,694,1,29415.6,1,1,1,3,Hibernating
C1433,704,1,269914.0,1,1,4,6,Potential Loyalist
C1434,515,1,19561.5,2,1,1,4,At Risk
C1435,680,1,211820.0,1,1,4,6,Potential Loyalist
C1436,17,1,60494.4,4,1,2,7,Potential Loyalist
C1437,45,1,16017.6,4,1,1,6,Potential Loyalist
C1438,49,1,97600.5,4,1,3,8,Loyal
C1439,615,1,138529.6,1,1,3,5,At Risk
C144,225,1,271340.0,3,1,4,8,Loyal
C1440,19,1,168093.0,4,1,4,9,Loyal
C1441,21,1,359460.0,4,1,4,9,Loyal
C1442,575,1,206024.6,1,1,4,6,Potential Loyalist
C1443,121,1,8420.0,4,1,1,6,Potential Loyalist
C1444,634,1,137168.0,1,1,3,5,At Risk
C1445,673,1,216543.0,1,1,4,6,Potential Loyalist
C1446,376,1,74069.6,2,1,2,5,At Risk
C1447,223,1,179616.0,3,1,4,8,Loyal
C1448,705,1,77684.4,1,1,2,4,At Risk
C1449,278,1,235036.0,3,1,4,8,Loyal
C145,662,1,2347.7,1,1,1,3,Hibernating
